1 0 1 0
2 0 1 1
3 0 1 2
4 0 2 2
5 0 2 1
6 1 2 1
7 1 2 0
8 1 2 1
9 1 1 1
10 2 1 1
11 2 1 2
12 3 1 2
13 2 1 2
14 1 1 2
15 1 2 2
16 0 2 2
17 0 2 1
18 0 1 1
19 1 1 1
20 1 1 0
21 1 1 -1
22 0 1 -1
23 -1 1 -1
24 -1 1 0
25 -1 1 1
26 -1 1 2
27 -1 0 2
28 -1 1 2
29 -1 1 3
30 -1 0 3
31 0 0 3
32 0 -1 3
33 0 -1 2
34 0 -1 3
35 -1 -1 3
36 0 -1 3
37 0 -1 2
38 0 -1 1
39 -1 -1 1
40 -2 -1 1
41 -2 0 1
42 -2 -1 1
43 -2 0 1
44 -2 -1 1
45 -3 -1 1
46 -3 -2 1
47 -3 -3 1
48 -3 -3 2
49 -2 -3 2
50 -2 -3 3
51 -1 -3 3
52 -1 -2 3
53 0 -2 3
54 0 -2 4
55 0 -3 4
56 1 -3 4
57 0 -3 4
58 0 -2 4
59 0 -1 4
60 0 -1 3
61 1 -1 3
62 0 -1 3
63 0 0 3
64 0 0 2
65 0 0 3
66 0 0 2
67 1 0 2
68 1 1 2
69 2 1 2
70 2 1 3
71 2 0 3
72 3 0 3
73 2 0 3
74 1 0 3
75 1 -1 3
76 1 -2 3
77 0 -2 3
78 1 -2 3
79 1 -2 4
80 1 -1 4
81 1 -2 4
82 1 -2 5
83 2 -2 5
84 2 -1 5
85 2 -1 6
86 2 -1 5
87 2 -1 6
88 3 -1 6
89 3 -2 6
90 3 -1 6
91 4 -1 6
92 4 -1 7
93 4 0 7
94 5 0 7
95 5 0 8
96 4 0 8
97 5 0 8
98 6 0 8
99 7 0 8
100 7 -1 8
101 6 -1 8
102 6 -2 8
103 6 -2 7
104 7 -2 7
105 7 -2 8
106 7 -1 8
107 7 0 8
108 7 0 9
109 8 0 9
110 7 0 9
111 7 0 8
112 8 0 8
113 7 0 8
114 6 0 8
115 6 1 8
116 6 2 8
117 6 3 8
118 6 4 8
119 5 4 8
120 5 4 9
121 5 4 10
122 5 4 11
123 4 4 11
124 5 4 11
125 4 4 11
126 5 4 11
127 5 4 10
128 5 4 9
129 5 4 8
130 5 4 7
131 4 4 7
132 5 4 7
133 6 4 7
134 6 3 7
135 6 4 7
136 6 4 6
137 7 4 6
138 7 3 6
139 7 3 7
140 8 3 7
141 8 3 6
142 8 2 6
143 8 3 6
144 8 3 5
145 8 4 5
146 8 4 6
147 8 3 6
148 8 3 5
149 7 3 5
150 7 3 4
151 7 2 4
152 7 2 5
153 8 2 5
154 8 1 5
155 8 1 6
156 9 1 6
157 9 2 6
158 9 1 6
159 10 1 6
160 10 2 6
161 11 2 6
162 11 1 6
163 11 2 6
164 11 2 5
165 10 2 5
166 10 2 4
167 10 2 3
168 10 2 2
169 10 3 2
170 9 3 2
171 9 4 2
172 10 4 2
173 10 4 3
174 11 4 3
175 11 5 3
176 11 5 2
177 12 5 2
178 12 5 1
179 12 4 1
180 12 4 2
181 12 4 1
182 13 4 1
183 13 4 2
184 13 4 3
185 14 4 3
186 14 4 2
187 14 4 1
188 13 4 1
189 13 5 1
190 13 5 0
191 14 5 0
192 14 6 0
193 15 6 0
194 14 6 0
195 14 5 0
196 14 6 0
197 14 7 0
198 14 7 -1
199 14 6 -1
200 14 5 -1
201 14 4 -1
202 14 5 -1
203 14 4 -1
204 14 3 -1
205 14 3 -2
206 13 3 -2
207 13 4 -2
208 13 5 -2
209 13 5 -3
210 14 5 -3
211 14 5 -2
212 14 4 -2
213 15 4 -2
214 15 4 -3
215 15 4 -4
